Incident_Description,Attack_Type,Severity
"Network traffic shows command injection via user agent string",command_injection,medium
"Employee reported finding Rubber Ducky USB in parking lot",malware,medium
"Email containing SharePoint themed phishing for Office 365 creds",phishing,high
"Discovered ElasticSearch instance with ransomware note",ransomware,high
"User reported system running bitcoin miner after visiting website",cryptojacking,medium
"API logs reveal server side request forgery to AWS metadata",SSRF,high
"Physical security: vibration sensor triggered on server rack",physical_security,low
"Network scan detected multiple systems with MS17-010 vulnerability",vulnerability,high
"Employee reported vishing call about wire transfer verification",vishing,high
"Malware using DLL search order hijacking for persistence",dll_hijacking,medium
"Log analysis shows successful blind SQL injection data extraction",SQL_injection,high
"Email gateway caught typosquatting domain in sender address",typosquatting,medium
"User account compromise through password reuse from breach",credential_stuffing,high
"Security logs show token impersonation for privilege escalation",privilege_escalation,high
"Network monitoring detected HTTPS inspection bypass attempt",SSL_bypass,medium
"Employee reported finding keylogger hardware in keyboard",hardware_keylogger,high
"Discovered Git repository with AWS keys in commit history",secret_exposure,high
"Web application showing signs of session donation attack",session_fixation,medium
"User reported cursor moving to click on hidden elements",clickjacking,medium
"API endpoint exposing stacktrace with database credentials",information_disclosure,high
"Physical security: unauthorized person caught on CCTV in IT area",physical_security,medium
"Network traffic shows SSRF attack chain to internal services",SSRF,high
"Employee fell for fake parking violation email with malware",phishing,medium
"Detected DCSync attack dumping Active Directory database",AD_attack,high
"Security scan found Redis instance exposed without password",misconfiguration,high
"User workstation infected with Dridex banking trojan",trojan,high
"Email containing COVID vaccine appointment phishing",phishing,medium
"Network logs show ARP cache poisoning on corporate subnet",ARP_poisoning,medium
"Employee reported laser microphone pointed at conference room",physical_security,high
"Log files indicate XPath injection in search functionality",XPATH_injection,medium
"Discovered subdomain pointing to attacker-controlled server",subdomain_takeover,high
"User reported fake Chrome update notification on website",malvertising,medium
"API logs show authorization bypass through parameter pollution",API_abuse,medium
"Network monitoring shows fast-flux DNS hosting malware",malware,high
"Email server sending bounce messages to forged sender addresses",backscatter,low
"Physical security: door sensor bypassed with magnet",physical_security,medium
"Malware analysis revealed rootkit using DKOM technique",rootkit,high
"Employee reported smishing about two-factor authentication setup",smishing,high
"Detected Golden Ticket persistence in Active Directory",kerberos_attack,high
"Security assessment found CRLF injection in HTTP headers",CRLF_injection,low
"User account created through race condition in registration",race_condition,medium
"Network scan revealed multiple IoT devices with default passwords",IoT_compromise,high
"Email containing fake Zoom meeting invite with malicious link",phishing,medium
"Log analysis shows successful cache deception attack",cache_deception,medium
"Employee laptop showing signs of bootkit malware infection",bootkit,high
"API endpoint leaking user emails through verbose errors",information_disclosure,medium
"Physical security: HVAC system accessed remotely by unauthorized user",physical_security,high
"Network traffic indicates data exfiltration to cloud storage",data_exfiltration,high
"User reported popup claiming computer infected with viruses",scareware,low
"Discovered Magento credit card skimmer on checkout page",web_skimming,high
"Security logs show rundll32 used to execute malicious DLL",malware,medium
"Employee fell for BEC scam attempting to change payroll deposit",BEC,high
"Email gateway detected executable with right-to-left override",malware,medium
"Network monitoring shows DNS tunneling for C2 communication",C2,high
"User workstation compromised with RedLine information stealer",malware,high
"API logs reveal GraphQL introspection exposing schema",API_exposure,low
"Physical security: cleaning crew reported finding listening device",physical_security,high
"Log files show successful stored XSS attack on forum",XSS,medium
"Employee reported vishing call about suspended account",vishing,medium
"Detected skeleton key malware on domain controller",malware,high
"Security scan found Jupyter notebook with no authentication",misconfiguration,high
"User reported system clock changed to bypass license check",tampering,low
"Network traffic shows WebSocket used for reverse shell",reverse_shell,high
"Email containing fake IRS tax refund notification",phishing,high
"Discovered crypto wallet drainer on compromised website",cryptojacking,high
"Employee reported finding hidden camera in changing room",physical_security,high
"Malware using process doppelganging to evade detection",malware,high
"Log analysis revealed successful LDAP injection attack",LDAP_injection,high
"User account showing signs of password spraying attack",password_spraying,medium
"API endpoint vulnerable to HTTP desync attack",request_smuggling,high
"Physical security: badge reader offline allowing unrestricted access",physical_security,high
"Network scan detected multiple systems with Log4j vulnerability",vulnerability,high
"Employee fell for fake IT support call installing TeamViewer",social_engineering,high
"Email server logs show attempt to exploit Postfix vulnerability",exploit,medium
"User workstation showing Ryuk ransomware infection indicators",ransomware,high
"Security assessment found prototype pollution in JavaScript",prototype_pollution,medium
"Network monitoring detected DGA malware callouts",malware,high
"Employee reported finding AirTag in laptop bag",physical_security,medium
"Log files show successful HQL injection in Hibernate",HQL_injection,medium
"Email containing OneDrive phishing with sharepoint lookalike",phishing,high
"Discovered memcached server exposed and being used for DDoS",misconfiguration,medium
"User reported browser extension changing cryptocurrency addresses",clipboard_hijacking,high
"API logs show attempt to exploit GraphQL batching attack",API_abuse,medium
"Physical security: fire suppression system triggered in server room",physical_security,low
"Network traffic indicates NTLM relay attack in progress",relay_attack,high
"Employee laptop infected through malicious ad on news site",malvertising,high
"Detected attempt to abuse S3 bucket policy for data access",cloud_compromise,high
"Security scan revealed multiple SQL injection points",SQL_injection,high
"User account locked after impossible travel detection",account_compromise,high
"Email gateway caught executable pretending to be PDF",malware,medium
"Network logs show SMB brute force attack from internal IP",brute_force,medium
"Employee reported tailgating attempt using food delivery disguise",physical_security,medium
"Malware analysis shows use of reflective DLL injection",malware,high
"Log analysis revealed successful expression language injection",EL_injection,high
"User workstation compromised with BlackMatter ransomware",ransomware,high
"API endpoint exposing PII through debug mode enabled",information_disclosure,high
"Physical security: window sensor triggered in restricted area",physical_security,medium
"Network monitoring shows TOR traffic from executive laptop",suspicious_activity,high
"Email containing fake DocuSign request for W2 forms",phishing,high
"Discovered Laravel debug mode exposing environment variables",misconfiguration,high
"Employee fell for fake Microsoft license expiration email",phishing,medium
"Security logs show mshta.exe downloading remote payload",malware,high
"User reported fake payment page on legitimate looking domain",phishing,high
"Network scan detected HeartBleed vulnerability on mail server",vulnerability,high
"Employee reported drone dropping USB devices in parking lot",social_engineering,high
"Log files indicate successful template injection attack",template_injection,high
"Email server being used to send political propaganda",account_compromise,low
"Detected DLL injection using SetWindowsHookEx",process_injection,medium
"User workstation showing Conti ransomware precursor activity",ransomware,high
"API logs show excessive data scraping violating rate limits",data_scraping,low
"Physical security: someone attempted to jam door sensor",physical_security,medium
"Network traffic shows ICMP redirect attack in progress",ICMP_redirect,medium
"Employee reported finding hardware implant in network cable",hardware_implant,high
"Malware using UAC bypass through eventvwr.exe",privilege_escalation,medium
"Email containing sextortion threat with old password",sextortion,low
"Discovered Kubernetes secrets exposed in container logs",secret_exposure,high
"Security assessment found DOM clobbering vulnerability",DOM_clobbering,low
"User reported system file associations changed by malware",malware,medium
"Network monitoring detected DDoS amplification using CLDAP",DDoS,high
"Employee fell victim to pig butchering cryptocurrency scam",social_engineering,high
"Log analysis shows successful Server Side Request Forgery",SSRF,high
"API endpoint vulnerable to replay attack on authentication",replay_attack,medium
"Physical security: pressure sensor triggered under server floor",physical_security,low
"Email gateway detected homograph attack on executive",phishing,high
"User workstation infected with SystemBC proxy malware",malware,medium
"Network scan revealed Apache Struts with RCE vulnerability",vulnerability,high
"Employee reported blackmail using compromising browsing history",extortion,medium
"Detected living off the land using certutil for downloads",fileless_malware,medium
"Security logs show scheduled task created for persistence",persistence,medium
"Email containing fake salary increase notification with link",phishing,medium
"Discovered Docker API exposed without authentication",misconfiguration,high
"User reported cursor automatically clicking on ads",clickjacking,low
"Network traffic shows data exfiltration via Google Drive",data_exfiltration,medium
"Employee laptop showing MBR overwritten with ransom message",ransomware,high
"API logs reveal timing attack on 2FA verification",timing_attack,medium
"Physical security: RF signal detector found transmitting device",physical_security,high
"Malware analysis revealed VM detection evasion techniques",malware,medium
"Log files show successful CSV injection attack",formula_injection,medium
"Email server logs indicate compromised account sending spam",account_compromise,medium
"User reported fake Windows Defender alert requesting payment",scareware,low
"Network monitoring shows beaconing to Pastebin for commands",C2,medium
"Employee fell for voice phishing claiming to be from bank",vishing,high
"Detected attempt to exploit ProxyNotShell vulnerability",exploit,high
"Security scan found world-writable files on web server",misconfiguration,medium
"User workstation showing TrickBot infection indicators",trojan,high
"Email containing Apple ID phishing with urgency tactics",phishing,medium
"Network logs show successful DNS spoofing attack",DNS_spoofing,high
"Employee reported someone filming computer screen with phone",physical_security,low
"API endpoint leaking authorization tokens in URL",secret_exposure,high
"Discovered supply chain attack through compromised update",supply_chain,high
"User account showing brute force attempts from residential IPs",brute_force,medium
"Physical security: lock on network closet cut with bolt cutters",physical_security,high
"Log analysis revealed NoSQL injection in MongoDB query",NoSQL_injection,high
"Email gateway caught PDF with embedded malicious JavaScript",malware,medium
"Network traffic indicates lateral movement using WMI",lateral_movement,high
"Employee reported finding USB keylogger on shared workstation",hardware_keylogger,high
"Malware using Heaven's Gate technique to evade detection",malware,medium
"Security assessment found race condition in authentication",race_condition,high
"User reported ransomware countdown timer demanding Bitcoin",ransomware,high
"API logs show GraphQL query depth attack attempting DoS",API_abuse,medium
"Network monitoring detected cryptocurrency mining pool traffic",cryptojacking,medium
"Email containing fake court summons with malicious attachment",phishing,medium
"Physical security: motion activated camera found in air vent",physical_security,high
"Detected Golden SAML attack on cloud authentication",SAML_attack,high
"Employee fell for romance scam revealing company secrets",social_engineering,high
"Log files show successful command injection via file upload",command_injection,high
"User workstation compromised with Maze ransomware variant",ransomware,high
"Security scan revealed exposed Prometheus metrics endpoint",information_disclosure,low
"Network traffic shows MQTT broker exposed to internet",misconfiguration,medium
"Email server configuration allowing subdomain spoofing",email_spoofing,medium
"Employee reported receiving threatening messages demanding Bitcoin",extortion,medium
"Discovered typosquatted NPM package in build pipeline",supply_chain,high
"User reported fake antivirus performing unwanted system changes",scareware,medium
"API endpoint vulnerable to authorization bypass via JWT",JWT_abuse,high
"Physical security: RFID skimmer found on building entrance",physical_security,high
"Network logs indicate successful buffer overflow exploitation",exploit,high
"Malware analysis shows polymorphic code generation",malware,high
"Email containing LinkedIn phishing for credential theft",phishing,medium
"Detected DCSync attack attempting to replicate AD database",AD_attack,high
"Employee laptop showing signs of BIOS level compromise",firmware_malware,high
"Security logs show PowerShell downloading encoded payload",fileless_malware,high
"User account compromised through session fixation attack",session_fixation,high
"Network monitoring shows DNS exfiltration of sensitive data",data_exfiltration,high
"Employee reported USB cable that logs keystrokes",hardware_keylogger,medium
"Log analysis revealed successful blind XPath injection",XPATH_injection,high
"Email gateway detected QR code leading to phishing site",phishing,medium
"Discovered container escape using CVE-2019-5736",container_escape,high
"User reported system displaying ransom note in multiple languages",ransomware,high
"API logs show attempt to exploit insecure deserialization",deserialization,high
"Physical security: authorized access used during unusual hours",insider_threat,medium
"Network traffic indicates Command and Control via Twitter",C2,medium
"Employee fell for fake job offer revealing internal information",social_engineering,medium
"Malware using process hollowing to hide malicious code",process_hollowing,high
"Security scan found GraphQL introspection enabled in production",API_exposure,low
"Email containing weaponized Excel 4.0 macro",malware,high
"User workstation infected with Sodinokibi ransomware",ransomware,high
"Network logs show rainbow table attack on NTLM hashes",password_attack,high
"Employee reported hidden microphone in conference phone",physical_security,high
"Detected Skeleton Key attack on Active Directory",AD_attack,high
"Log files indicate successful HTTP parameter pollution",HPP,medium
"API endpoint exposing internal error messages with stack traces",information_disclosure,medium
"User reported browser constantly redirecting to ad pages",browser_hijack,low
"Physical security: infrared sensor detecting after-hours movement",physical_security,low
"Network monitoring shows covert channel using DNS TXT records",covert_channel,medium
"Email server logs show compromised account in email blast",account_compromise,high
"Employee laptop displaying FBI ransomware lock screen",ransomware,medium
"Security assessment revealed type confusion vulnerability",type_confusion,high
"Discovered public Jenkins instance with no authentication",misconfiguration,high
"User account locked after detection of password spray attack",password_spraying,medium
"Network traffic shows successful MitM attack on HTTP traffic",MITM,high
"Employee reported vishing call claiming account suspended",vishing,medium
"Malware analysis shows anti-debugging techniques employed",malware,medium
"Log analysis revealed successful ORM injection attack",ORM_injection,medium
"Email containing DHL package phishing with tracking number",phishing,medium
"Detected attempt to exploit Follina vulnerability in Office",exploit,high
"User workstation showing Netwalker ransomware infection",ransomware,high
"API logs show broken authentication allowing account takeover",API_abuse,high
"Physical security: webcam LED activated without user action",spyware,medium
"Network scan detected multiple printers with open admin panels",misconfiguration,medium
"Employee fell for CEO fraud wire transfer request",BEC,high
"Security logs show regsvr32 downloading remote script",malware,high
"Email gateway caught homoglyph domain impersonating brand",typosquatting,medium
"User reported system preventing access to security websites",malware,high
"Network monitoring detected amplification attack using memcached",DDoS,high
"Employee reported finding GPS tracker on company laptop bag",physical_security,medium
"Discovered exposed AWS access keys in mobile app",secret_exposure,high
"Log files show successful arbitrary file read via XXE",XXE,high
"API endpoint vulnerable to mass assignment on user role",mass_assignment,high
"User account showing authentication from TOR exit nodes",suspicious_activity,high
"Physical security: glass break detector triggered after hours",physical_security,medium
"Malware using DGA to generate C2 domains dynamically",malware,high
"Email containing Google Drive phishing for corporate account",phishing,high
"Network traffic indicates successful SSL pinning bypass",MITM,high
"Employee laptop infected after watering hole attack",watering_hole,high
"Security scan found Tomcat with exposed manager interface",misconfiguration,high
"User workstation compromised with LockBit 2.0 ransomware",ransomware,high
"Detected Pass-the-Hash attack moving through network",lateral_movement,high
"Log analysis shows GraphQL nested query resource exhaustion",API_abuse,medium
"Email server sending cryptocurrency investment scams",account_compromise,medium
"Employee reported magic packet wake-on-LAN at 3 AM",suspicious_activity,low
"Network logs reveal VLAN hopping attack attempt",VLAN_hopping,medium
"Physical security: unauthorized drone near data center",physical_security,medium
"API logs show authentication bypass using null byte",API_abuse,high
"User reported fake Flash Player update installing malware",malware,medium
"Discovered ZeroLogon vulnerability being actively exploited",exploit,high
"Security assessment found path traversal in file download",path_traversal,high
"Email containing Instagram phishing about account suspension",phishing,medium
"Network monitoring shows beacon to residential IP as C2",C2,high
"Employee fell for survey scam revealing personal information",social_engineering,low
"Malware analysis revealed fileless persistence via WMI",fileless_malware,high
"Log files indicate CRLF injection in log poisoning attack",log_poisoning,medium
"User workstation showing Dharma ransomware encryption",ransomware,high
"API endpoint leaking customer data through caching headers",cache_leak,medium
"Physical security: someone cut fiber optic cable to building",physical_security,high
"Network traffic shows successful relay attack on Kerberos",kerberos_attack,high
"Email gateway detected macro-less malware using DDE",malware,high
"Employee reported Bluetooth skimmer at building ATM",skimming,high
"Detected living-off-the-land attack using msiexec",fileless_malware,medium
"Security scan revealed Kubernetes API server exposed",misconfiguration,high
"User account compromise leading to business email fraud",BEC,high
"Network logs show data exfiltration via DNS A records",data_exfiltration,high
"Employee laptop showing MBR ransomware preventing boot",ransomware,high
"Log analysis revealed second order SQL injection",SQL_injection,high
"Email containing Netflix phishing about payment problem",phishing,medium
"API logs show JWT algorithm confusion vulnerability",JWT_abuse,high
"Physical security: heat sensor shows server room intrusion",physical_security,medium
"User reported cursor moving without input during banking",remote_access,high
"Network monitoring detected reflection attack using NTP",DDoS,high
"Employee fell for tech support scam via popup ad",social_engineering,medium
"Malware using anti-VM techniques to avoid analysis",malware,medium
"Security assessment found XML bomb in file upload",XXE,medium
"Email server logs show lateral phishing from compromised account",account_compromise,high
"User workstation infected with GandCrab ransomware",ransomware,high
"Discovered hardcoded API keys in Android application",secret_exposure,high
"Network traffic indicates HTTPS downgrade attack",downgrade_attack,high
"Employee reported someone shoulder surfing password entry",physical_security,low
"Log files show successful event log poisoning",log_poisoning,medium
"API endpoint vulnerable to resource exhaustion attack",API_abuse,medium
"Physical security: fake utility worker requesting server room access",social_engineering,high
"Detected PrintNightmare exploit attempt on domain controller",exploit,high
"Email containing PayPal phishing with urgent action required",phishing,high
"User reported ransomware with cat pictures as wallpaper",ransomware,low
"Network scan revealed RDP exposed with weak credentials",misconfiguration,high
"Employee laptop showing cryptocurrency miner using GPU",cryptojacking,medium
"Security logs indicate token replay attack successful",replay_attack,high
"Malware analysis shows code injection via malicious DLL",dll_injection,high
"Email gateway caught business email with lookalike domain",BEC,high
"Network monitoring shows anomalous SMB traffic patterns",suspicious_activity,medium
"Employee fell for sextortion email with password from breach",sextortion,low
"Log analysis revealed successful cache poisoning attack",cache_poisoning,high
"User workstation compromised with Clop ransomware",ransomware,high
"API logs show GraphQL alias-based resource exhaustion",API_abuse,medium
"Physical security: lockpicking marks found on server room door",physical_security,high
"Discovered public Grafana dashboard showing infrastructure",information_disclosure,medium
"Email containing UPS shipping notification with malware",phishing,medium
"Network traffic shows successful BGP hijack of IP space",BGP_hijacking,high
"Employee reported finding modified Ethernet cable with tap",hardware_implant,high
"Security scan found multiple stored XSS vulnerabilities",XSS,high
"User account showing concurrent sessions from different countries",account_compromise,high
"Detected attempt to exploit PetitPotam vulnerability",exploit,high
"Log files indicate OS command injection via user input",command_injection,high
"Email server being used for cryptocurrency mining",cryptojacking,high
"Network logs show successful cache deception attack",cache_deception,medium
"Employee laptop infected through malicious browser extension",malware,medium
"API endpoint exposing user sessions in response headers",session_exposure,high
"Physical security: vibration detected on window after hours",physical_security,low
"Malware using rootkit to hide network connections",rootkit,high
"User reported fake virus scan demanding credit card",scareware,medium
"Email containing Amazon phishing about suspended account",phishing,medium
"Network monitoring detected data staging for exfiltration",data_theft,high
"Employee fell for W-2 scam sending data to external email",social_engineering,high
"Security assessment revealed insecure randomness in tokens",vulnerability,medium
"User workstation showing WannaCry ransomware infection",ransomware,high
"Log analysis shows successful union-based SQL injection",SQL_injection,high
"API logs indicate excessive permissions in OAuth scope",OAuth_abuse,medium
"Physical security: tamper seal broken on server cabinet",physical_security,medium
"Network traffic shows C2 communication via cloud services",C2,high
"Email gateway detected sender address spoofing CEO",email_spoofing,high
"Employee reported laser listening device pointed at window",physical_security,high
"Detected Golden Ticket attack with forged TGT",kerberos_attack,high
"User account locked after distributed brute force attempt",brute_force,high
"Discovered Shodan search revealing company infrastructure",reconnaissance,low
"Network scan shows multiple MongoDB instances exposed",misconfiguration,high
"Malware analysis revealed process migration techniques",malware,high
"Email containing Microsoft Teams phishing for credentials",phishing,high
"Security logs show successful DLL hijacking attack",dll_hijacking,high
"User workstation compromised with Satan ransomware",ransomware,high
"API endpoint vulnerable to IDOR on payment records",IDOR,high
"Physical security: unauthorized access to cable management",physical_security,low
"Network monitoring shows suspicious PowerShell activity",fileless_malware,medium
"Employee laptop showing signs of firmware rootkit",firmware_malware,high
"Log files reveal successful SSTI vulnerability exploitation",template_injection,high
"Email server configuration exposing internal hostnames",information_disclosure,low
"User reported system preventing Windows Defender updates",malware,high
"Network traffic indicates crypto mining botnet activity",cryptojacking,high
"Employee fell for fake invoice payment redirection",BEC,high
"Security scan found Git config with stored credentials",secret_exposure,medium
"API logs show broken object level authorization",API_abuse,high
"Physical security: CCTV system showing looped footage",physical_security,high
"Detected attempt to exploit ProxyLogon Exchange vulnerability",exploit,high
"Email containing WhatsApp phishing about account verification",phishing,medium
"User workstation infected with REvil ransomware",ransomware,high
"Network logs indicate ARP spoofing between critical servers",ARP_spoofing,high
"Employee reported malicious QR code in parking garage",phishing,low
"Malware using COM hijacking for persistence mechanism",persistence,medium
"Log analysis shows successful blind boolean SQL injection",SQL_injection,high
"API endpoint exposing detailed error messages with paths",information_disclosure,medium
"User account showing password reuse from public breach",credential_stuffing,medium
"Physical security: weight sensor triggered in restricted area",physical_security,low
"Network monitoring detected covert channel in HTTP headers",covert_channel,medium
"Email gateway caught phishing using IDN homograph attack",phishing,high
"Employee laptop compromised through supply chain attack",supply_chain,high
"Security assessment found JWT none algorithm vulnerability",JWT_abuse,high
"User reported browser cryptojacking on company portal",cryptojacking,low
"Network traffic shows data exfiltration to Telegram bot",data_exfiltration,high
"Employee fell for grandparent scam revealing org structure",social_engineering,low
"Detected Pass-the-Ticket attack using golden ticket",kerberos_attack,high
"Log files indicate successful OOB XXE attack",XXE,high
"Email containing bank phishing with valid SSL certificate",phishing,high
"API logs reveal rate limiting bypass using race condition",race_condition,medium
"Physical security: magnetic lock showing signs of bypass",physical_security,medium
"User workstation showing Ryuk ransomware precursors",ransomware,high
"Network scan detected Java serialization endpoint exposed",vulnerability,high
"Malware analysis shows anti-sandboxing time checks",malware,medium
"Email server sending spam due to compromised credentials",account_compromise,medium
"Security logs indicate successful container breakout",container_escape,high
"Employee reported evil maid attack on laptop in hotel",physical_security,high
"Network monitoring shows MySQL traffic to external IP",data_exfiltration,high
"User account created through parameter tampering",API_abuse,medium
"Log analysis revealed GraphQL introspection data leak",API_exposure,low
"Email containing COVID test result phishing with attachment",phishing,medium
"Detected DarkSide ransomware on critical infrastructure",ransomware,high
"API endpoint vulnerable to XXE via SVG file upload",XXE,high
"Physical security: ultrasonic sensor detecting movement",physical_security,low
"Network traffic indicates successful VLAN escape",VLAN_hopping,high
"Employee fell for pig butchering crypto investment scam",social_engineering,high
"Malware using AppInit DLLs for injection",dll_injection,medium
"User workstation infected with Sodinokibi ransomware",ransomware,high
"Security scan revealed Spring Boot actuator exposed",misconfiguration,medium
"Email gateway detected executive impersonation attempt",BEC,high
"Network logs show lateral movement via RDP",lateral_movement,high
"Employee reported finding hidden recorder in meeting room",physical_security,high
"Log files show successful PHP object injection",object_injection,high
"API logs indicate authorization bypass in REST endpoint",API_abuse,high
"User reported fake online shopping site using company logo",brand_abuse,medium
"Physical security: door contact sensor showing tampering",physical_security,medium
"Detected living-off-the-land attack using wmic.exe",fileless_malware,medium
"Email containing FedEx phishing with package tracking",phishing,medium
"Network monitoring detected Fast Flux hosting network",C2,high
"Employee laptop showing bootkit preventing security updates",bootkit,high
"Security assessment found formula injection in export",formula_injection,medium
"User account compromise through credential stuffing list",credential_stuffing,high
"Network traffic shows IRC bot communication channel",botnet,high
"Malware analysis revealed Heaven's Gate technique usage",malware,medium
"Email server logs indicate open relay configuration",misconfiguration,medium
"Employee fell for technical support refund scam",social_engineering,medium
"Log analysis shows NoSQL injection in user search",NoSQL_injection,high
"API endpoint leaking authentication tokens in logs",secret_exposure,high
"Physical security: perimeter fence sensor triggered",physical_security,low
"User workstation compromised with Petya ransomware",ransomware,high
"Network scan found multiple systems with BlueKeep",vulnerability,high
"Email containing Office 365 phishing for admin credentials",phishing,high
"Detected DCSync attack replicating password hashes",AD_attack,high
"Security logs show successful LSASS memory dump",credential_theft,high
"Employee reported Bluetooth credit card skimmer in lobby",skimming,high
"Network monitoring shows suspicious LDAP queries",reconnaissance,medium
"User reported system clock manipulation to extend trial",tampering,low
"API logs show GraphQL query complexity attack",API_abuse,medium
"Physical security: motion detector disabled with spray",physical_security,medium
"Malware using reflective DLL loading technique",malware,high
"Email gateway caught typosquatting domain registration",typosquatting,low
"Log files indicate successful command injection via ImageMagick",command_injection,high
"Employee laptop infected with CryptoLocker variant",ransomware,high
"Network traffic reveals MITM attack on VoIP calls",MITM,high
"Security scan found Swagger UI exposing all endpoints",API_exposure,medium
"User account showing brute force from IoT botnet",brute_force,medium
"Email containing Apple iTunes phishing for payment update",phishing,medium
"Detected attempt to exploit EternalBlue SMB vulnerability",exploit,high
"Employee fell for romance scam on dating platform",social_engineering,medium
"API endpoint vulnerable to broken function authorization",API_abuse,high
"Physical security: IR beam sensor triggered in vault",physical_security,high
"Network logs show data exfiltration via FTP to China",data_exfiltration,high
"User workstation showing Locky ransomware infection",ransomware,high
"Malware analysis shows VM detection via hardware check",malware,medium
"Email server being used for business email compromise",BEC,high
"Security assessment revealed host header injection",host_header_injection,medium
"Employee reported evil twin WiFi at coffee shop",rogue_device,medium
"Log analysis shows successful PostgreSQL injection",SQL_injection,high
"Network monitoring detected amplification DDoS via SSDP",DDoS,high
"User reported fake Java update hijacking downloads",malware,medium
"API logs indicate mass data scraping via pagination",data_scraping,low
"Physical security: someone attempted to clone master key",physical_security,high
"Email containing IRS phishing about tax refund",phishing,high
"Detected Golden SAML attack on SSO infrastructure",SAML_attack,high
"Employee laptop compromised via malicious Teams GIF",malware,high
"Network traffic shows successful DNS rebinding attack",DNS_rebinding,high
"Security logs reveal WMI persistence mechanism installed",persistence,high
"User workstation infected with Maze ransomware",ransomware,high
"Log files show ORM injection in Hibernate query",ORM_injection,medium
"API endpoint exposing MongoDB connection string",secret_exposure,high
"Physical security: laser sensor detecting smoke in server room",physical_security,low
"Malware using process ghosting to avoid detection",malware,high
"Email gateway detected QR code phishing in image",phishing,medium
"Network scan revealed Jenkins with script console exposed",misconfiguration,high
"Employee fell for grant money advance fee scam",social_engineering,low
"Security assessment found SSRF via PDF generator",SSRF,high
"User account locked after credential stuffing attack",credential_stuffing,medium
"Network monitoring shows covert channel using HTTPS",covert_channel,high
"Email containing DHL shipping phishing with PDF malware",phishing,medium
"Detected Kerberoasting attack harvesting SPN hashes",kerberos_attack,high
"Employee reported hidden device in USB charger",hardware_implant,medium
"API logs show broken authentication on password reset",API_abuse,high
"Physical security: turnstile allowing multiple entries",physical_security,low
"User workstation showing TeslaCrypt ransomware",ransomware,high
"Network traffic indicates successful BGP prefix leak",BGP_leak,medium
"Malware analysis revealed sandbox evasion via sleep",malware,medium
"Email server sending pharmaceutical spam campaigns",spam,medium
"Log analysis shows blind time-based SQL injection",SQL_injection,high
"Security scan found Travis CI logs exposing secrets",secret_exposure,high
"Employee laptop infected through poisoned search result",SEO_poisoning,medium
"Network logs reveal NTLM hash capture via responder",credential_theft,high
"User reported cursor hijacking during online banking",clickjacking,high
"API endpoint vulnerable to HTTP verb tampering",API_abuse,low
"Physical security: glass break sensor malfunction",physical_security,low
"Email containing SharePoint phishing for O365 credentials",phishing,high
"Detected DLL side-loading attack using legitimate app",dll_sideloading,high
"Employee fell for charity scam revealing donor database",social_engineering,medium
"Network monitoring detected mining pool communication",cryptojacking,medium
"Security logs show UAC bypass via fodhelper.exe",privilege_escalation,medium
"User workstation compromised with Cerber ransomware",ransomware,high
"Log files indicate successful CRLF injection attack",CRLF_injection,medium
"API logs reveal excessive data exposure in responses",API_exposure,medium
"Physical security: tamper evident tape broken on rack",physical_security,medium
"Malware using API hammering to crash security tools",malware,medium
"Email gateway caught homograph attack using Unicode",phishing,high
"Network traffic shows RDP brute force from botnet",brute_force,high
"Employee reported vishing about IT security audit",vishing,high
"Security assessment found RCE via file upload",RCE,high
"User account showing login from sanctioned country",suspicious_activity,high
"Network scan detected Drupal with SQLi vulnerability",vulnerability,high
"Email containing fake LinkedIn invitation with malware",social_engineering,medium
"Detected attempt to exploit PrintSpooler vulnerability",exploit,high
"Employee laptop showing MBR ransomware infection",ransomware,high
"API endpoint leaking stack traces on errors",information_disclosure,medium
"Physical security: badge reader showing card skimming",physical_security,high
"Log analysis revealed successful XPath injection",XPATH_injection,medium
"Network monitoring shows data exfiltration to Dropbox",data_exfiltration,medium
"User reported fake McAfee renewal popup scam",scareware,low
"Malware analysis shows rootkit hiding in boot sector",rootkit,high
"Email server configuration allowing email spoofing",misconfiguration,medium
"Security logs indicate shadow IT VPN usage",shadow_IT,low
"Employee fell for fake parking ticket phishing",phishing,low
"Network traffic reveals cryptocurrency wallet theft",cryptojacking,high
"API logs show authorization bypass via JWT tampering",JWT_abuse,high
"Physical security: motion sensor covered with tape",physical_security,medium
"User workstation infected with NotPetya malware",ransomware,high
"Detected Golden Ticket attack with 10-year validity",kerberos_attack,high
"Email containing ransomware disguised as invoice",ransomware,high
"Network scan found Redis allowing command execution",misconfiguration,high
"Employee reported evil maid attack on hotel laptop",physical_security,high
"Log files show successful HQL injection attack",HQL_injection,high
"Security assessment revealed DOM XSS in search",XSS,medium
"User account compromise via leaked database",credential_stuffing,high
"Network monitoring detected DNS sinkhole redirection",suspicious_activity,low
"Malware using LOLBins to download second stage",fileless_malware,medium
"Email gateway detected SPF failure from partner domain",email_spoofing,low
"API endpoint exposing user PII without authentication",API_exposure,high
"Physical security: unauthorized person in secured area",physical_security,high
"Employee laptop showing PowerShell Empire indicators",APT,high
"Network traffic indicates lateral movement via SMB",lateral_movement,high
"User reported system disabled after failed ransomware",ransomware,medium
"Security scan revealed multiple outdated WordPress plugins",vulnerability,medium
"Email containing COVID vaccine card phishing",phishing,medium
